"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-01","17","","195605935","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","72001","69487","68212","87.15%","23.96%","36.33%","15.85","58.32%","9.23","527357.56","32.71%","73.26%"
"2017-02-23","22","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","49700","45701","45494","87.32%","30.77%","40.25%","20.01","59.58%","11.94","457718.37","39.40%","78.10%"
"2017-02-01","18","","145299609","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","45661","43324","42747","86.96%","26.31%","37.07%","15.05","59.28%","8.86","313059.15","34.79%","75.63%"
"2017-02-01","19","","145299609","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","42129","39897","39676","88.00%","26.38%","37.28%","15.07","59.18%","8.89","296105.66","34.60%","76.26%"
"2017-02-20","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","39521","37845","37746","90.72%","26.98%","41.91%","15.04","60.79%","9.03","300678.53","33.33%","80.95%"
"2017-02-20","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","37158","35579","35489","90.58%","25.90%","40.92%","15.04","60.48%","9.06","283291.47","32.20%","80.42%"
"2017-02-01","18","","195606139","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","36947","35082","34946","88.16%","26.10%","38.36%","15.07","60.04%","8.99","265810.32","34.91%","74.76%"
"2017-02-01","18","","195605935","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","35078","33459","33317","87.55%","23.44%","36.50%","15.85","58.00%","9.14","255748.82","31.75%","73.81%"
"2017-02-20","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","33723","32119","32012","90.48%","28.52%","43.23%","15.05","62.07%","9.31","262049.84","35.00%","81.48%"
"2017-02-01","17","","195606139","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","32983","31926","31515","88.79%","27.77%","39.05%","15.05","61.02%","9.16","245629.59","36.16%","76.80%"
"2017-02-23","21","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","28236","27043","26963","86.93%","29.99%","39.51%","20.01","59.47%","11.94","271752.61","38.82%","77.27%"
